robot_id,schedule_id,t,x,y,theta,v,w,target_node_id
A1,SingleRobotEnv:SingleRobot,0.414354801,0.124184204,0.593011230,0.025024645,0.000000000,0.000000000,N10
A1,SingleRobotEnv:SingleRobot,0.689511776,0.124265823,0.592898193,0.022163995,0.000000000,0.000000000,N10
A1,SingleRobotEnv:SingleRobot,1.032340765,0.124270294,0.592889954,0.022191998,0.366688732,-0.117329965,N10
A1,SingleRobotEnv:SingleRobot,1.323655844,0.124297836,0.592938721,0.024889927,0.378866200,-0.129008360,N10
A1,SingleRobotEnv:SingleRobot,1.585998058,0.153708344,0.593423096,0.026643676,0.377801285,-0.141954692,N10
A1,SingleRobotEnv:SingleRobot,1.810649157,0.213821991,0.593162720,-0.090827166,0.352159208,0.309191534,N10
A1,SingleRobotEnv:SingleRobot,2.032373190,0.251498138,0.588537842,-0.226293103,0.350005690,0.916914746,N10
A1,SingleRobotEnv:SingleRobot,2.289700270,0.314731537,0.570442017,-0.335955781,0.347194612,1.536929275,N10
A1,SingleRobotEnv:SingleRobot,2.548177004,0.380788757,0.543038635,-0.339678047,0.309360517,1.840254629,N10
A1,SingleRobotEnv:SingleRobot,2.837277412,0.418914001,0.530536682,-0.467577036,0.285491511,2.406938315,N10
A1,SingleRobotEnv:SingleRobot,3.108198881,0.449521393,0.514212219,-0.503298308,0.243530297,2.597579260,N10
A1,SingleRobotEnv:SingleRobot,3.387935162,0.492623962,0.489541321,-0.409869551,0.246730424,2.442249669,N10
A1,SingleRobotEnv:SingleRobot,3.700384378,0.528458618,0.472464172,-0.330276385,0.249834384,2.340109966,N10
A1,SingleRobotEnv:SingleRobot,3.983365297,0.568768066,0.457454712,-0.272609944,0.270801644,2.154734649,N10
A1,SingleRobotEnv:SingleRobot,4.273587465,0.592597290,0.450987640,-0.301734502,0.253354766,2.265343582,N10
A1,SingleRobotEnv:SingleRobot,4.537280798,0.609168762,0.445528992,-0.326466110,0.222433438,2.350685551,N10
A1,SingleRobotEnv:SingleRobot,4.830953360,0.623158752,0.440555756,-0.335553355,0.191150380,2.385240697,N10
A1,SingleRobotEnv:SingleRobot,5.093483925,0.641425476,0.433395996,-0.308779460,0.269286092,2.314678547,N10
A1,SingleRobotEnv:SingleRobot,5.420155048,0.676439636,0.422283661,-0.224929767,0.259788120,2.132735390,N10
A1,SingleRobotEnv:SingleRobot,5.682586193,0.708008484,0.413986420,-0.156293130,0.236313929,1.946246451,N10
A1,SingleRobotEnv:SingleRobot,5.923382998,0.742625977,0.406088867,-0.096954209,0.317887787,1.844438986,N10
A1,SingleRobotEnv:SingleRobot,6.328045845,0.767798157,0.404632935,-0.126860586,0.298602594,1.942557433,N10
A1,SingleRobotEnv:SingleRobot,6.649112225,0.809710327,0.398639618,-0.164888004,0.381698620,2.588007839,N10
A1,SingleRobotEnv:SingleRobot,6.836059332,0.834857422,0.393201965,-0.165425373,0.374665512,2.749527573,N10
A1,SingleRobotEnv:SingleRobot,7.063980103,0.864268677,0.387035309,-0.111962035,0.331385206,2.622439509,N10
A1,SingleRobotEnv:SingleRobot,7.282127380,0.909031433,0.380397461,-0.024906131,0.400000000,3.695542985,N10
A1,SingleRobotEnv:SingleRobot,7.514971495,0.958773254,0.376845917,-0.024536755,0.400000000,4.605375331,N10
A1,SingleRobotEnv:SingleRobot,7.722976208,0.988273560,0.376379639,-0.100142654,0.400000000,4.806921590,N10
A1,SingleRobotEnv:SingleRobot,7.928580523,1.012535522,0.373290161,-0.092802120,0.400000000,4.849595611,N10
A1,SingleRobotEnv:SingleRobot,8.142709732,1.057712036,0.367332092,-0.001379116,0.400000000,4.792891805,N10
A1,SingleRobotEnv:SingleRobot,8.324471712,1.076992432,0.365516663,0.086747168,0.400000000,4.683353726,N10
A1,SingleRobotEnv:SingleRobot,8.550881386,1.139905884,0.372965057,0.323655005,0.400000000,4.414820615,N10
A1,SingleRobotEnv:SingleRobot,8.759336472,1.188719238,0.387465271,0.427323748,0.400000000,4.349642076,N10
A1,SingleRobotEnv:SingleRobot,8.982255936,1.226986938,0.403114777,0.508654724,0.400000000,4.302614355,N10
A1,SingleRobotEnv:SingleRobot,9.193702936,1.268299194,0.425174561,0.668776231,0.400000000,4.130276441,N10
A1,SingleRobotEnv:SingleRobot,9.435086250,1.309474121,0.453391449,0.898022230,0.400000000,3.830842472,N10
A1,SingleRobotEnv:SingleRobot,9.720842838,1.343501221,0.496153046,0.970699270,0.400000000,3.836308958,N10
A1,SingleRobotEnv:SingleRobot,9.950042009,1.381413208,0.547138672,1.091846650,0.400000000,3.655655590,N11
A1,SingleRobotEnv:SingleRobot,10.170036316,1.404607178,0.595687012,1.261428383,0.400000000,3.433724363,N11
A1,SingleRobotEnv:SingleRobot,10.505159140,1.421918945,0.646230103,1.393629685,0.400000000,3.281371857,N11
A1,SingleRobotEnv:SingleRobot,10.743589401,1.432292969,0.695958374,1.409409434,0.400000000,3.209901389,N11
A1,SingleRobotEnv:SingleRobot,11.023162127,1.440472046,0.746836731,1.550342587,0.400000000,3.005657697,N11
A1,SingleRobotEnv:SingleRobot,11.307439566,1.442494385,0.807300598,1.701692981,0.400000000,2.635301273,N11
A1,SingleRobotEnv:SingleRobot,11.627800465,1.434517944,0.878705566,1.723550463,0.400000000,2.547200324,N11
A1,SingleRobotEnv:SingleRobot,11.922559261,1.422862915,0.954418274,1.862078291,0.400000000,2.084190008,N11
A1,SingleRobotEnv:SingleRobot,12.182138443,1.406321899,1.009556458,1.954381587,0.400000000,1.806072344,N11
A1,SingleRobotEnv:SingleRobot,12.467740059,1.387137329,1.058078491,1.880607269,0.400000000,1.920887908,N11
A1,SingleRobotEnv:SingleRobot,12.724990129,1.372949097,1.110618286,1.862476556,0.400000000,1.881638042,N11
A1,SingleRobotEnv:SingleRobot,13.002125025,1.355021973,1.174106445,1.951184346,0.400000000,1.489922453,N11
A1,SingleRobotEnv:SingleRobot,13.286394358,1.330851929,1.234684814,1.970594312,0.400000000,1.294386547,N11
A1,SingleRobotEnv:SingleRobot,13.550744295,1.316115112,1.275348633,1.859307516,0.400000000,1.602472740,N11
A1,SingleRobotEnv:SingleRobot,13.802875042,1.303619141,1.322192017,1.889670426,0.400000000,1.443619297,N11
A1,SingleRobotEnv:SingleRobot,14.062014818,1.283590576,1.384035156,1.968916823,0.400000000,0.938529695,N11
A1,SingleRobotEnv:SingleRobot,14.334855080,1.264032715,1.431326050,1.961947982,0.400000000,0.753632544,N11
A1,SingleRobotEnv:SingleRobot,14.624326229,1.250871094,1.465760132,1.849776759,0.400000000,1.090368364,N11
A1,SingleRobotEnv:SingleRobot,14.913342237,1.236440918,1.526129883,1.856972945,0.400000000,0.971523359,N12
A1,SingleRobotEnv:SingleRobot,15.207265139,1.217011230,1.593755249,1.904592861,0.400000000,0.607823544,N12
A1,SingleRobotEnv:SingleRobot,15.491858721,1.199614990,1.643691162,1.860605864,0.400000000,0.658415193,N12
A1,SingleRobotEnv:SingleRobot,15.806994677,1.189525269,1.685063599,1.762801989,0.400000000,0.907981108,N12
A1,SingleRobotEnv:SingleRobot,16.160837173,1.180252197,1.739113281,1.793631100,0.400000000,0.687861693,N12
A1,SingleRobotEnv:SingleRobot,16.484156609,1.163221924,1.817457275,1.835438708,0.400000000,0.313640175,N12
A1,SingleRobotEnv:SingleRobot,16.781519890,1.150184814,1.871809814,1.722595495,0.399999994,0.641341856,N12
A1,SingleRobotEnv:SingleRobot,17.078974724,1.145065918,1.919161743,1.672478977,0.400000000,0.748742453,N12
A1,SingleRobotEnv:SingleRobot,17.404943466,1.140846191,1.978982056,1.677451958,0.400000000,0.677597134,N12
A1,SingleRobotEnv:SingleRobot,17.657586813,1.134965698,2.050054443,1.671161092,0.370329898,0.632303833,N12
A1,SingleRobotEnv:SingleRobot,17.972511292,1.131866821,2.088207764,1.559209557,0.398767668,1.014788666,N12
A1,SingleRobotEnv:SingleRobot,18.232322216,1.135444458,2.140904297,1.514432192,0.400000000,0.856668141,N12
A1,SingleRobotEnv:SingleRobot,18.479914665,1.139060425,2.174084473,1.542472065,0.380076662,0.761170858,N12
A1,SingleRobotEnv:SingleRobot,18.719269753,1.140908447,2.234387207,1.600851155,0.348546182,-0.614189670,N12
A1,SingleRobotEnv:SingleRobot,19.041045189,1.140486084,2.279839600,1.560852563,0.338412091,-2.214189684,N22
A1,SingleRobotEnv:SingleRobot,19.280204058,1.141421265,2.317000000,1.422416588,0.321908524,-3.814189694,N22
A1,SingleRobotEnv:SingleRobot,19.547300577,1.147216064,2.351278564,1.381024903,0.271030583,-4.153719407,N22
A1,SingleRobotEnv:SingleRobot,19.801049709,1.158923218,2.405445312,1.277722453,0.231591238,-4.150612827,N22
A1,SingleRobotEnv:SingleRobot,20.089922428,1.175271484,2.452598877,1.134173056,0.150433834,-3.980196821,N22
A1,SingleRobotEnv:SingleRobot,20.450717211,1.190373169,2.484712158,0.953808466,0.092174338,-3.699896348,N22
A1,SingleRobotEnv:SingleRobot,20.750825882,1.208164795,2.513559814,0.436884553,0.150246988,-2.689122532,N22
A1,SingleRobotEnv:SingleRobot,21.051061630,1.223300293,2.524456787,0.037689090,0.299072061,-1.586177832,N22
A1,SingleRobotEnv:SingleRobot,21.358489275,1.240905151,2.526343262,-0.132578468,0.399999969,-0.901306431,N22
A1,SingleRobotEnv:SingleRobot,21.610880375,1.277270630,2.520003418,-0.243573716,0.400000000,-0.406193342,N22
A1,SingleRobotEnv:SingleRobot,21.818366528,1.306844238,2.512542480,-0.286902168,0.381349656,-0.147163324,N22
A1,SingleRobotEnv:SingleRobot,22.089127302,1.346414551,2.499121338,-0.303491777,0.399193071,0.060973145,N22
A1,SingleRobotEnv:SingleRobot,22.388266325,1.402278442,2.479928467,-0.311041194,0.399499873,0.286455535,N22
A1,SingleRobotEnv:SingleRobot,22.552800179,1.460066162,2.460157471,-0.421815283,0.320103834,0.926658133,N22
A1,SingleRobotEnv:SingleRobot,22.741368771,1.481558472,2.451084473,-0.509240847,0.337644868,1.433962698,N22
A1,SingleRobotEnv:SingleRobot,22.907422066,1.504043335,2.438446045,-0.540127779,0.308228071,1.721470167,N22
A1,SingleRobotEnv:SingleRobot,23.085997581,1.517905396,2.429341553,-0.517612206,0.270469962,1.746161849,N22
A1,SingleRobotEnv:SingleRobot,23.235987902,1.565050537,2.403318359,-0.420159715,0.234343317,1.621496459,N22
A1,SingleRobotEnv:SingleRobot,23.400073528,1.589652344,2.389435303,-0.382081172,0.190967482,1.564199827,N22
A1,SingleRobotEnv:SingleRobot,23.544928074,1.601194946,2.384568848,-0.355703163,0.155769228,1.478262976,N22
A1,SingleRobotEnv:SingleRobot,23.712787151,1.631991577,2.372445068,-0.375194102,0.088287365,1.549562262,N22
