case,run_group,representative_run,schedule_file,visit_index,robot_id,node_id,ETA,x,y
case_1,011-015,011,schedule_SingleRobot.csv,1,A1,N00,0.0,0.1126,0.5907
case_1,011-015,011,schedule_SingleRobot.csv,2,A1,N10,2.25,1.0126,0.5907
case_1,011-015,011,schedule_SingleRobot.csv,3,A1,N20,4.5,1.9126,0.5907
case_1,011-015,011,schedule_SingleRobot.csv,4,A1,N21,6.75,1.9126,1.4907
case_1,011-015,011,schedule_SingleRobot.csv,5,A1,N11,9.0,1.0126,1.4907
case_1,011-015,011,schedule_SingleRobot.csv,6,A1,N01,11.25,0.1126,1.4907
case_1,011-015,011,schedule_SingleRobot.csv,7,A1,N02,13.5,0.1126,2.3907
case_1,011-015,011,schedule_SingleRobot.csv,8,A1,N12,15.75,1.0126,2.3907
case_1,011-015,011,schedule_SingleRobot.csv,9,A1,N22,18.0,1.9126,2.3907
case_2,016-020,016,schedule_SingleRobot.csv,1,A1,N00,0.0,0.1126,0.5907
case_2,016-020,016,schedule_SingleRobot.csv,2,A1,N10,2.25,1.0126,0.5907
case_2,016-020,016,schedule_SingleRobot.csv,3,A1,N11,4.5,1.0126,1.4907
case_2,016-020,016,schedule_SingleRobot.csv,4,A1,N12,6.75,1.0126,2.3907
case_2,016-020,016,schedule_SingleRobot.csv,5,A1,N22,9.0,1.9126,2.3907
case_3,021-025,021,schedule_SingleRobot.csv,1,A1,N00,0.0,0.1126,0.5907
case_3,021-025,021,schedule_SingleRobot.csv,2,A1,N10,2.25,1.0126,0.5907
case_3,021-025,021,schedule_SingleRobot.csv,3,A1,N20,4.5,1.9126,0.5907
case_3,021-025,021,schedule_SingleRobot.csv,4,A1,N21,6.75,1.9126,1.4907
case_3,021-025,021,schedule_SingleRobot.csv,5,A1,N22,9.0,1.9126,2.3907
case_3,021-025,021,schedule_SingleRobot.csv,6,A1,N12,11.25,1.0126,2.3907
case_3,021-025,021,schedule_SingleRobot.csv,7,A1,N02,13.5,0.1126,2.3907
case_3,021-025,021,schedule_SingleRobot.csv,8,A1,N01,15.75,0.1126,1.4907
case_3,021-025,021,schedule_SingleRobot.csv,9,A1,N00,18.0,0.1126,0.5907
case_4,026-030,026,schedule_SingleRobot.csv,1,A1,N01,0.0,0.1126,1.4907
case_4,026-030,026,schedule_SingleRobot.csv,2,A1,N11,2.25,1.0126,1.4907
case_4,026-030,026,schedule_SingleRobot.csv,3,A1,N21,4.5,1.9126,1.4907
