robot_id,node_id,ETA
A1,D01,0.0
A1,D11,6.800000000000001
A1,D12,251.4
A1,D13,254.4
A1,N0,262.6
A1,N1,267.8
A1,N4,275.8
A1,L1,280.6
A1,L13,287.6
A1,L14,291.40000000000003
A1,L12,298.6
A1,N5,303.6
A1,N8,312.6
A1,N11,321.6
A1,N14,330.8
A1,N15,335.8
A1,N150,365.8
A1,P6,370.8
A1,P62,373.6
A1,P6,380.8
A1,N150,384.20000000000005
A1,N15,387.0
A1,N14,390.8
A1,N11,399.6
A1,N8,408.6
A1,N5,417.8
A1,L12,422.6
A1,L1,426.6
A1,N4,452.20000000000005
A1,N1,459.8
A1,N0,464.6
A1,D13,472.8
A1,D12,476.0
A1,D11,492.8
A1,D01,504.20000000000005
A2,D02,0.0
A2,D12,8.0
A2,D13,224.4
A2,N0,232.60000000000002
A2,N6,249.8
A2,N7,255.0
A2,N10,263.6
A2,L2,268.6
A2,L23,275.6
A2,L24,279.6
A2,L22,286.6
A2,N11,291.40000000000003
A2,N14,300.6
A2,N17,309.6
A2,N20,318.8
A2,N21,323.8
A2,N210,327.6
A2,P7,332.8
A2,P72,335.20000000000005
A2,P7,342.6
A2,N210,346.0
A2,N21,348.8
A2,N20,352.8
A2,N17,361.6
A2,L32,366.6
A2,L3,370.6
A2,N16,375.40000000000003
A2,N13,384.6
A2,N10,393.6
A2,N7,402.6
A2,N4,411.6
A2,N1,419.8
A2,N0,424.6
A2,D13,432.8
A2,D12,435.6
A2,D02,466.40000000000003
A3,D03,0.0
A3,D13,187.0
A3,N0,195.0
A3,N6,212.20000000000002
A3,N12,230.20000000000002
A3,N18,248.20000000000002
A3,N19,256.6
A3,N22,265.6
A3,L4,270.6
A3,L43,277.8
A3,L44,281.6
A3,L42,288.6
A3,N23,293.6
A3,N26,302.2
A3,N27,307.8
A3,N270,311.6
A3,P8,316.8
A3,P82,320.0
A3,P8,327.40000000000003
A3,N270,351.40000000000003
A3,N27,355.8
A3,N26,360.6
A3,N23,369.8
A3,L42,374.6
A3,L4,378.6
A3,N22,383.20000000000005
A3,N19,392.8
A3,N18,397.6
A3,N12,415.8
A3,N6,467.8
A3,N0,484.6
A3,D13,493.0
A3,D03,504.20000000000005
A4,D04,0.0
A4,D14,141.6
A4,D13,167.0
A4,N0,175.0
A4,N6,192.20000000000002
A4,N12,210.20000000000002
A4,N18,228.20000000000002
A4,N19,233.4
A4,N22,242.20000000000002
A4,L4,247.0
A4,L43,254.20000000000002
A4,L44,258.0
A4,L42,265.2
A4,N23,269.8
A4,N20,279.2
A4,N21,284.2
A4,N15,302.2
A4,N9,320.0
A4,N90,324.20000000000005
A4,P5,329.20000000000005
A4,P52,331.8
A4,P5,339.20000000000005
A4,N90,342.6
A4,N9,345.40000000000003
A4,N8,349.20000000000005
A4,N5,377.8
A4,L12,382.6
A4,L1,386.6
A4,N4,391.40000000000003
A4,N1,399.8
A4,N0,404.6
A4,D13,412.8
A4,D14,415.6
A4,D04,446.40000000000003
A5,D05,0.0
A5,D15,6.800000000000001
A5,D14,121.60000000000001
A5,D13,124.4
A5,N00,132.6
A5,N60,149.8
A5,N120,167.8
A5,N180,216.20000000000002
A5,N240,233.8
A5,N24,238.0
A5,N25,243.20000000000002
A5,N22,285.8
A5,L4,290.8
A5,L42,308.8
A5,N23,313.6
A5,N26,322.20000000000005
A5,N27,327.6
A5,N270,331.8
A5,N27,339.8
A5,N26,343.6
A5,N23,350.0
A5,L42,354.6
A5,L4,358.8
A5,N22,363.6
A5,N19,372.6
A5,N18,377.6
A5,N12,395.6
A5,N6,413.6
A5,N0,444.8
A5,D13,452.8
A5,D14,455.8
A5,D15,493.0
A5,D05,505.0
A6,D21,0.0
A6,D31,7.0
A6,D32,101.60000000000001
A6,D33,104.4
A6,N3,112.60000000000001
A6,N2,117.80000000000001
A6,N5,125.60000000000001
A6,L12,130.6
A6,L1,134.8
A6,N4,139.4
A6,N7,148.6
A6,N10,157.60000000000002
A6,N13,189.20000000000002
A6,N12,250.20000000000002
A6,N120,254.20000000000002
A6,P2,259.2
A6,P22,262.0
A6,P2,269.2
A6,N120,272.8
A6,N12,275.40000000000003
A6,N13,279.2
A6,N10,288.2
A6,N7,306.8
A6,N4,315.8
A6,L1,334.40000000000003
A6,L12,352.8
A6,N5,357.6
A6,N2,365.6
A6,N3,370.6
A6,D33,452.8
A6,D32,456.20000000000005
A6,D31,458.8
A6,D21,504.20000000000005
A7,D22,0.0
A7,D32,8.4
A7,D33,81.2
A7,N3,89.4
A7,N9,106.60000000000001
A7,N8,111.80000000000001
A7,N11,120.60000000000001
A7,L22,125.4
A7,L2,129.6
A7,N10,134.20000000000002
A7,N13,143.6
A7,N12,174.20000000000002
A7,N18,192.0
A7,N180,196.0
A7,P3,201.20000000000002
A7,P32,298.2
A7,P3,305.2
A7,N180,309.8
A7,N18,313.6
A7,N19,318.8
A7,N16,327.8
A7,L3,332.6
A7,L32,336.8
A7,N17,341.40000000000003
A7,N14,350.6
A7,N11,359.6
A7,N8,388.40000000000003
A7,N5,397.6
A7,N2,405.8
A7,N3,465.0
A7,D33,473.0
A7,D32,475.6
A7,D22,504.20000000000005
A8,D23,0.0
A8,D33,53.0
A8,N3,61.0
A8,N9,78.2
A8,N15,96.2
A8,N14,101.4
A8,N17,110.2
A8,L32,115.0
A8,L3,119.2
A8,N16,123.80000000000001
A8,N19,151.20000000000002
A8,N18,156.20000000000002
A8,N24,173.60000000000002
A8,N240,178.0
A8,P4,183.0
A8,P43,190.20000000000002
A8,P44,193.4
A8,P42,200.0
A8,P4,203.20000000000002
A8,N240,253.8
A8,N24,258.2
A8,N25,296.40000000000003
A8,N22,403.40000000000003
A8,L4,408.8
A8,L42,412.6
A8,N23,417.6
A8,N20,426.8
A8,N21,431.6
A8,N15,449.8
A8,N9,467.8
A8,N3,484.6
A8,D33,493.0
A8,D23,504.20000000000005
A9,D24,0.0
A9,D34,29.8
A9,D33,32.800000000000004
A9,N3,41.0
A9,N9,58.2
A9,N15,76.2
A9,N21,94.2
A9,N20,99.4
A9,N23,108.2
A9,L42,113.0
A9,L4,117.2
A9,N22,121.80000000000001
A9,N19,131.20000000000002
A9,N18,136.20000000000002
A9,N12,154.20000000000002
A9,N6,172.0
A9,N60,176.0
A9,P1,181.20000000000002
A9,P12,184.0
A9,P1,191.20000000000002
A9,N60,194.8
A9,N6,269.8
A9,N7,274.8
A9,N4,295.6
A9,L1,300.6
A9,L12,319.0
A9,N5,323.6
A9,N2,331.8
A9,N3,336.6
A9,D33,344.8
A9,D34,347.6
A9,D24,504.0
A10,D25,0.0
A10,D35,6.800000000000001
A10,D34,10.0
A10,D33,12.8
A10,N30,21.0
A10,N90,38.2
