robot_id,node_id,ETA
A1,N01,0.0
A1,N02,7.0
A1,N12,14.0
A1,N22,26.75
A1,N23,33.75
A1,N24,40.75
A1,N14,47.75
A1,N24,54.75
A1,N34,61.75
A1,N33,68.75
A1,N23,225.75
A1,N13,232.75
A1,N03,239.75
A1,N02,246.75
A1,N01,253.75
A2,N34,0.0
A2,N33,7.0
A2,N32,34.25
A2,N22,122.75
A2,N12,129.75
A2,N13,136.75
A2,N14,143.75
A2,N04,150.75
A2,N03,157.75
A2,N02,164.75
A2,N03,171.75
A2,N04,178.75
A2,N14,185.75
A2,N24,192.75
A2,N34,199.75
A3,N31,0.0
A3,N21,7.0
A3,N11,54.5
A3,N12,149.75
A3,N13,156.75
A3,N03,191.75
A3,N02,198.75
A3,N01,205.75
A3,N11,212.75
A3,N21,219.75
A3,N31,226.75
A4,N04,0.0
A4,N14,67.75
A4,N24,74.75
A4,N23,81.75
A4,N22,88.75
A4,N21,95.75
A4,N22,102.75
A4,N23,109.75
A4,N24,212.75
A4,N14,219.75
A4,N04,226.75
